time;index;headline
2025-09-19 18:52:27;1;Abschaffung Eigenmietwert
2025-09-19 18:52:27;2;Kantone und Gemeinden
2025-09-19 18:52:27;3;USA unter Trump
2025-09-19 18:52:27;4;International
2025-09-19 18:52:27;5;Gesellschaft
